observation_date,Unrate_log
1/1/93,0.86332286
2/1/93,0.851258349
3/1/93,0.84509804
4/1/93,0.851258349
5/1/93,0.851258349
6/1/93,0.84509804
7/1/93,0.838849091
8/1/93,0.832508913
9/1/93,0.826074803
10/1/93,0.832508913
11/1/93,0.819543936
12/1/93,0.812913357
1/1/94,0.819543936
2/1/94,0.819543936
3/1/94,0.812913357
4/1/94,0.806179974
5/1/94,0.785329835
6/1/94,0.785329835
7/1/94,0.785329835
8/1/94,0.77815125
9/1/94,0.770852012
10/1/94,0.763427994
11/1/94,0.748188027
12/1/94,0.740362689
1/1/95,0.748188027
2/1/95,0.73239376
3/1/95,0.73239376
4/1/95,0.763427994
5/1/95,0.748188027
6/1/95,0.748188027
7/1/95,0.755874856
8/1/95,0.755874856
9/1/95,0.748188027
10/1/95,0.740362689
11/1/95,0.748188027
12/1/95,0.748188027
1/1/96,0.748188027
2/1/96,0.740362689
3/1/96,0.740362689
4/1/96,0.748188027
5/1/96,0.748188027
6/1/96,0.72427587
7/1/96,0.740362689
8/1/96,0.707570176
9/1/96,0.716003344
10/1/96,0.716003344
11/1/96,0.73239376
12/1/96,0.73239376
1/1/97,0.72427587
2/1/97,0.716003344
3/1/97,0.716003344
4/1/97,0.707570176
5/1/97,0.69019608
6/1/97,0.698970004
7/1/97,0.69019608
8/1/97,0.681241237
9/1/97,0.69019608
10/1/97,0.672097858
11/1/97,0.662757832
12/1/97,0.672097858
1/1/98,0.662757832
2/1/98,0.662757832
3/1/98,0.672097858
4/1/98,0.633468456
5/1/98,0.643452676
6/1/98,0.653212514
7/1/98,0.653212514
8/1/98,0.653212514
9/1/98,0.662757832
10/1/98,0.653212514
11/1/98,0.643452676
12/1/98,0.643452676
1/1/99,0.633468456
2/1/99,0.643452676
3/1/99,0.62324929
4/1/99,0.633468456
5/1/99,0.62324929
6/1/99,0.633468456
7/1/99,0.633468456
8/1/99,0.62324929
9/1/99,0.62324929
10/1/99,0.612783857
11/1/99,0.612783857
12/1/99,0.602059991
1/1/00,0.602059991
2/1/00,0.612783857
3/1/00,0.602059991
4/1/00,0.579783597
5/1/00,0.602059991
6/1/00,0.602059991
7/1/00,0.602059991
8/1/00,0.612783857
9/1/00,0.591064607
10/1/00,0.591064607
11/1/00,0.591064607
12/1/00,0.591064607
1/1/01,0.62324929
2/1/01,0.62324929
3/1/01,0.633468456
4/1/01,0.643452676
5/1/01,0.633468456
6/1/01,0.653212514
7/1/01,0.662757832
8/1/01,0.69019608
9/1/01,0.698970004
10/1/01,0.72427587
11/1/01,0.740362689
12/1/01,0.755874856
1/1/02,0.755874856
2/1/02,0.755874856
3/1/02,0.755874856
4/1/02,0.770852012
5/1/02,0.763427994
6/1/02,0.763427994
7/1/02,0.763427994
8/1/02,0.755874856
9/1/02,0.755874856
10/1/02,0.755874856
11/1/02,0.770852012
12/1/02,0.77815125
1/1/03,0.763427994
2/1/03,0.770852012
3/1/03,0.770852012
4/1/03,0.77815125
5/1/03,0.785329835
6/1/03,0.799340549
7/1/03,0.792391689
8/1/03,0.785329835
9/1/03,0.785329835
10/1/03,0.77815125
11/1/03,0.763427994
12/1/03,0.755874856
1/1/04,0.755874856
2/1/04,0.748188027
3/1/04,0.763427994
4/1/04,0.748188027
5/1/04,0.748188027
6/1/04,0.748188027
7/1/04,0.740362689
8/1/04,0.73239376
9/1/04,0.73239376
10/1/04,0.740362689
11/1/04,0.73239376
12/1/04,0.73239376
1/1/05,0.72427587
2/1/05,0.73239376
3/1/05,0.716003344
4/1/05,0.716003344
5/1/05,0.707570176
6/1/05,0.698970004
7/1/05,0.698970004
8/1/05,0.69019608
9/1/05,0.698970004
10/1/05,0.698970004
11/1/05,0.698970004
12/1/05,0.69019608
1/1/06,0.672097858
2/1/06,0.681241237
3/1/06,0.672097858
4/1/06,0.672097858
5/1/06,0.662757832
6/1/06,0.662757832
7/1/06,0.672097858
8/1/06,0.672097858
9/1/06,0.653212514
10/1/06,0.643452676
11/1/06,0.653212514
12/1/06,0.643452676
1/1/07,0.662757832
2/1/07,0.653212514
3/1/07,0.643452676
4/1/07,0.653212514
5/1/07,0.643452676
6/1/07,0.662757832
7/1/07,0.672097858
8/1/07,0.662757832
9/1/07,0.672097858
10/1/07,0.672097858
11/1/07,0.672097858
12/1/07,0.698970004
1/1/08,0.698970004
2/1/08,0.69019608
3/1/08,0.707570176
4/1/08,0.698970004
5/1/08,0.73239376
6/1/08,0.748188027
7/1/08,0.763427994
8/1/08,0.785329835
9/1/08,0.785329835
10/1/08,0.812913357
11/1/08,0.832508913
12/1/08,0.86332286
1/1/09,0.892094603
2/1/09,0.919078092
3/1/09,0.939519253
4/1/09,0.954242509
5/1/09,0.973127854
6/1/09,0.977723605
7/1/09,0.977723605
8/1/09,0.982271233
9/1/09,0.991226076
10/1/09,1
11/1/09,0.995635195
12/1/09,0.995635195
1/1/10,0.991226076
2/1/10,0.991226076
3/1/10,0.995635195
4/1/10,0.995635195
5/1/10,0.982271233
6/1/10,0.973127854
7/1/10,0.973127854
8/1/10,0.977723605
9/1/10,0.977723605
10/1/10,0.973127854
11/1/10,0.991226076
12/1/10,0.968482949
1/1/11,0.959041392
2/1/11,0.954242509
3/1/11,0.954242509
4/1/11,0.959041392
5/1/11,0.954242509
6/1/11,0.959041392
7/1/11,0.954242509
8/1/11,0.954242509
9/1/11,0.954242509
10/1/11,0.944482672
11/1/11,0.934498451
12/1/11,0.929418926
1/1/12,0.919078092
2/1/12,0.919078092
3/1/12,0.913813852
4/1/12,0.913813852
5/1/12,0.913813852
6/1/12,0.913813852
7/1/12,0.913813852
8/1/12,0.908485019
9/1/12,0.892094603
10/1/12,0.892094603
11/1/12,0.886490725
12/1/12,0.897627091
1/1/13,0.903089987
2/1/13,0.886490725
3/1/13,0.875061263
4/1/13,0.880813592
5/1/13,0.875061263
6/1/13,0.875061263
7/1/13,0.86332286
8/1/13,0.857332496
9/1/13,0.857332496
10/1/13,0.857332496
11/1/13,0.838849091
12/1/13,0.826074803
1/1/14,0.819543936
2/1/14,0.826074803
3/1/14,0.826074803
4/1/14,0.792391689
5/1/14,0.799340549
6/1/14,0.785329835
7/1/14,0.792391689
8/1/14,0.785329835
9/1/14,0.770852012
10/1/14,0.755874856
11/1/14,0.763427994
12/1/14,0.748188027
1/1/15,0.755874856
2/1/15,0.740362689
3/1/15,0.73239376
4/1/15,0.73239376
5/1/15,0.748188027
6/1/15,0.72427587
7/1/15,0.716003344
8/1/15,0.707570176
9/1/15,0.698970004
10/1/15,0.698970004
11/1/15,0.707570176
12/1/15,0.698970004
1/1/16,0.69019608
2/1/16,0.69019608
3/1/16,0.698970004
4/1/16,0.698970004
5/1/16,0.681241237
6/1/16,0.69019608
7/1/16,0.681241237
8/1/16,0.69019608
9/1/16,0.698970004
10/1/16,0.69019608
11/1/16,0.672097858
12/1/16,0.672097858
1/1/17,0.672097858
2/1/17,0.672097858
3/1/17,0.643452676
4/1/17,0.643452676
5/1/17,0.643452676
6/1/17,0.633468456
7/1/17,0.633468456
8/1/17,0.643452676
9/1/17,0.62324929
10/1/17,0.612783857
11/1/17,0.62324929
12/1/17,0.612783857
1/1/18,0.612783857
2/1/18,0.612783857
3/1/18,0.602059991
4/1/18,0.591064607
5/1/18,0.579783597
6/1/18,0.602059991
7/1/18,0.591064607
8/1/18,0.579783597
9/1/18,0.568201724
10/1/18,0.579783597
11/1/18,0.568201724
12/1/18,0.591064607
1/1/19,0.602059991
2/1/19,0.579783597
3/1/19,0.579783597
4/1/19,0.556302501
5/1/19,0.556302501
6/1/19,0.568201724
7/1/19,0.568201724
8/1/19,0.568201724
9/1/19,0.544068044
